  5196.809 607.01215     0.048  -3.93800               7.720
  5197.337 607.01215     0.069  -3.87000               7.720
  5197.691 607.01314     0.030  -4.10000               7.720
  5198.089 607.01214     0.177  -3.62700               7.720
  5198.157 607.01214     0.190  -3.62700               7.720
  5198.820 607.01215     0.115  -3.97700               7.720
  5198.917 607.01215     0.055  -3.90300               7.720
  5199.660 607.01314     0.035  -4.05300               7.720
  5200.163 607.01215     0.078  -3.84000               7.720
  5201.187 607.01215     0.062  -3.87100               7.720
  5201.369 607.01215     0.125  -3.95700               7.720
  5201.765 607.01314     0.041  -4.00900               7.720
  5202.385 607.01214     0.190  -3.60900               7.720
  5202.733 607.01214     0.203  -3.60900               7.720
  5203.134 607.01215     0.086  -3.81100               7.720
  5203.161 607.01314     0.020  -4.15500               7.720
  5203.618 607.01215     0.069  -3.84000               7.720
  5204.007 607.01314     0.047  -3.96900               7.720
  5204.077 607.01215     0.136  -3.93700               7.720
  5204.441 607.01314     0.025  -4.10200               7.720
  5204.590 607.01314     0.077  -4.06200               7.720
  5205.884 607.01314     0.030  -4.05400               7.720
  5206.210 607.01215     0.078  -3.81200               7.720
  5206.251 607.01215     0.095  -3.78400               7.720
  5206.389 607.01314     0.054  -3.93200               7.720
  5206.488 607.01314     0.085  -4.03700               7.720
  5206.847 607.01214     0.203  -3.59200               7.720
  5206.943 607.01215     0.147  -3.91900               7.720
  5207.469 607.01214     0.217  -3.59200               7.720
  5207.490 607.01314     0.035  -4.01100               7.720
  5208.542 607.01314     0.094  -4.01400               7.720
  5208.911 607.01314     0.061  -3.89700               7.720
  5208.963 607.01215     0.086  -3.78500               7.720
  5209.258 607.01314     0.041  -3.97000               7.720
  5209.516 607.01215     0.105  -3.75900               7.720
  5209.967 607.01215     0.159  -3.90100               7.720
  5210.754 607.01314     0.104  -3.99200               7.720
  5211.187 607.01314     0.047  -3.93300               7.720
  5211.476 607.01214     0.217  -3.57600               7.720
  5211.574 607.01314     0.069  -3.86500               7.720
  5211.876 607.01215     0.095  -3.75900               7.720
  5212.367 607.01214     0.232  -3.57600               7.720
  5212.929 607.01215     0.115  -3.73500               7.720
  5213.122 607.01314     0.114  -3.97100               7.720
  5213.278 607.01314     0.054  -3.89800               7.720
  5214.380 607.01314     0.077  -3.83500               7.720
  5214.950 607.01215     0.105  -3.73500               7.720
  5215.528 607.01314     0.061  -3.86600               7.720
  5215.648 607.01314     0.124  -3.95100               7.720
  5216.272 607.01214     0.232  -3.56000               7.720
  5216.492 607.01215     0.125  -3.71200               7.720
  5217.330 607.01314     0.085  -3.80600               7.720
  5217.428 607.01214     0.247  -3.56000               7.720
  5217.939 607.01314     0.069  -3.83500               7.720
  5218.184 607.01215     0.115  -3.71200               7.720
  5218.331 607.01314     0.135  -3.93200               7.720
  5220.204 607.01215     0.136  -3.69000               7.720
  5220.424 607.01314     0.094  -3.77900               7.720
  5220.509 607.01314     0.077  -3.80700               7.720
  5221.172 607.01314     0.146  -3.91400               7.720
  5221.237 607.01214     0.247  -3.54500               7.720
  5221.579 607.01215     0.125  -3.69000               7.720
  5222.652 607.01214     0.262  -3.54500               7.720
  5223.238 607.01314     0.085  -3.78000               7.720
  5223.665 607.01314     0.104  -3.75400               7.720
  5224.069 607.01215     0.147  -3.66900               7.720
  5224.169 607.01314     0.157  -3.89600               7.720
  5225.135 607.01215     0.136  -3.67000               7.720
  5226.127 607.01314     0.094  -3.75400               7.720
  5226.370 607.01214     0.262  -3.53000               7.720
  5227.053 607.01314     0.114  -3.73000               7.720
  5227.325 607.01314     0.170  -3.87900               7.720
  5228.041 607.01214     0.278  -3.53000               7.720
  5228.086 607.01215     0.159  -3.64900               7.720
  5228.852 607.01215     0.147  -3.65000               7.720
  5229.176 607.01314     0.104  -3.73000               7.720
  5230.589 607.01314     0.124  -3.70700               7.720
  5231.674 607.01214     0.278  -3.51600               7.720
  5232.257 607.01215     0.171  -3.63000               7.720
  5232.383 607.01314     0.114  -3.70700               7.720
  5232.729 607.01215     0.159  -3.63000               7.720
  5233.596 607.01214     0.294  -3.51600               7.720
  5234.274 607.01314     0.135  -3.68500               7.720
  5235.750 607.01314     0.124  -3.68500               7.720
  5236.582 607.01215     0.184  -3.61200               7.720
  5236.769 607.01215     0.171  -3.61200               7.720
  5237.147 607.01214     0.294  -3.50200               7.720
  5237.247 607.01315     0.024  -4.13800               7.720
  5238.110 607.01314     0.146  -3.66400               7.720
  5239.046 607.01315     0.029  -4.08600               7.720
  5239.276 607.01314     0.135  -3.66400               7.720
  5239.319 607.01214     0.311  -3.50200               7.720
  5240.971 607.01215     0.184  -3.59400               7.720
  5240.977 607.01315     0.034  -4.03900               7.720
  5241.063 607.01215     0.197  -3.59400               7.720
  5242.097 607.01314     0.157  -3.64400               7.720
  5242.792 607.01214     0.311  -3.48800               7.720
  5242.867 607.01315     0.059  -4.09900               7.720
  5242.962 607.01314     0.146  -3.64400               7.720
  5243.041 607.01315     0.040  -3.99500               7.720
