 11593.589      26.0     2.223  -2.64800    -7.820                                   7.140    -6.220
 11594.068 607.01215     0.876    -2.181               7.720                                        
 11594.548      26.0     4.580  -2.08200    -7.840                                   7.290    -6.080
 11594.838 607.01314     0.442    -2.338               7.720                                        
 11595.907 607.01315     0.447    -2.334               7.720                                        
 11596.869 607.01314     0.637    -2.955               7.720                                        
 11597.038 607.01315     0.640    -2.952               7.720                                        
 11603.147 607.01215     0.447    -2.337               7.720                                        
 11605.289 607.01314     0.462    -2.335               7.720                                        
 11605.555 607.01215     0.644    -2.954               7.720                                        
 11605.791 607.01315     0.467    -3.330               7.720                                        
 11607.574      26.0     2.198  -2.60900    -7.820                                   7.150    -6.220
 11608.883 607.01215     0.904    -2.182               7.720                                        
 11609.213 607.01314     0.637    -1.948               7.720                                        
 11609.653 607.01315     0.640    -2.345               7.720                                        
 11611.012 607.01214     0.441    -0.445               7.720                                        
 11611.060      14.0     6.261   0.50000    -7.320                                   8.040    -3.810
 11611.844 607.01214     0.461    -1.938               7.720                                        
 11614.070 607.01215     0.467    -2.333               7.720                                        
 11615.762 607.01214     0.640    -1.150               7.720                                        
 11617.753 607.01215     0.644    -1.947               7.720                                        
 11617.815 607.01214     0.904    -1.977               7.720                                        
 11619.752 607.01215     0.580    -2.145               7.720                                        
 11619.844 607.01314     0.585    -2.100               7.720                                        
 11619.910 607.01215     0.904    -2.175               7.720                                        
 11620.221 607.01314     0.462    -2.329               7.720                                        
 11620.932 607.01315     0.467    -2.325               7.720                                        
 11621.349 607.01314     0.576    -1.232               7.720                                        
 11622.212 607.01315     0.664    -1.945               7.720                                        
 11622.418 607.01314     0.661    -1.948               7.720                                        
 11626.179 607.01314     0.922    -2.178               7.720                                        
 11628.856 607.01215     0.467    -2.327               7.720                                        
 11631.432 607.01215     0.668    -2.947               7.720                                        
 11631.449 607.01314     0.482    -2.325               7.720                                        
 11631.563 607.01315     0.487    -2.321               7.720                                        
 11634.622 607.01314     0.661    -1.941               7.720                                        
 11634.695 607.01315     0.664    -1.939               7.720                                        
 11635.395 607.01215     0.933    -2.177               7.720                                        
 11637.269 607.01314     0.922    -2.172               7.720                                        
 11637.401 607.01315     0.921    -2.170               7.720                                        
 11638.262      26.0     2.176  -2.61400    -7.820                                   7.160    -6.220
 11640.564 607.01215     0.488    -2.324               7.720                                        
 11641.802      26.0     4.584  -3.08800    -7.840                                   7.290    -5.990
 11643.491 607.01215     0.669    -1.940               7.720                                        
 11644.605 607.01214     0.933    -1.572               7.720                                        
 11646.184 607.01314     0.483    -2.320               7.720                                        
 11646.351 607.01215     0.933    -2.170               7.720                                        
 11646.516 607.01315     0.487    -2.316               7.720                                        
 11647.950 607.01315     0.688    -1.939               7.720                                        
 11648.542 607.01314     0.685    -1.941               7.720                                        
 11652.345 607.01315     0.949    -2.172               7.720                                        
 11653.288 607.01214     0.482    -1.623               7.720                                        
 11655.154 607.01215     0.488    -2.318               7.720                                        
 11657.895 607.01215     0.693    -1.940               7.720                                        
 11657.896 607.01315     0.508    -2.312               7.720                                        
 11658.187 607.01314     0.503    -2.316               7.720                                        
 11660.305 607.01315     0.688    -1.932               7.720                                        
 11660.615 607.01314     0.685    -1.934               7.720                                        
 11662.515 607.01215     0.961    -2.172               7.720                                        
 11662.679      26.0     6.287  -1.42200    -7.130                                   8.090    -4.050
 11667.645 607.01215     0.509    -2.315               7.720                                        
 11668.479 607.01214     0.689    -1.336               7.720                                        
 11669.822 607.01215     0.693    -1.633               7.720                                        
 11672.663 607.01315     0.508    -2.307               7.720                                        
 11672.732 607.01314     0.503    -2.311               7.720                                        
 11673.398 607.01215     0.961    -2.165               7.720                                        
 11674.250 607.01315     0.712    -1.932               7.720                                        
 11675.250 607.01314     0.710    -1.934               7.720                                        
 11677.993      26.0     6.336  -1.95400    -7.130                                   8.220    -3.790
 11679.252 607.01315     0.977    -2.167               7.720                                        
 11682.047 607.01215     0.509    -2.309               7.720                                        
 11683.990 607.01214     0.715    -1.236               7.720                                        
 11684.789 607.01315     0.529    -2.804               7.720                                        
 11684.951 607.01215     0.718    -2.933               7.720                                        
 11685.506 607.01314     0.525    -2.308               7.720                                        
 11686.484 607.01315     0.712    -1.926               7.720                                        
 11687.198 607.01314     0.710    -1.928               7.720                                        
 11690.220      19.0     1.610   0.45000    -7.326                                   7.810    -5.170
 11691.254 607.01314     0.980    -1.562               7.720                                        
 11695.316 607.01215     0.530    -2.306               7.720                                        
 11695.759 607.01214     0.715    -1.129               7.720                                        
 11696.754 607.01215     0.718    -2.926               7.720                                        
 11699.387 607.01315     0.529    -2.299               7.720                                        
 11699.874 607.01314     0.525    -1.902               7.720                                        
 11700.152 607.01215     0.599    -3.861               7.720                                        
