#Table: J/ApJS/95/535/./table15.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|    | I
         |         |         |          |         |         |  |  |y|    |so
         |         |         |          |         |         |  |  |p|    |to
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e|  Jl|pe
---------|---------|---------|----------|---------|---------|--|--|-|----|--
3396.7808|6.412E-04|3.954E+00|65048.6818|1.444E-04|1.589E-33|23|20|P| 141|28
3399.4695|5.609E-04|3.467E+00|65387.2028|1.300E-04|1.222E-33|22|19|P| 145|36
3399.6546|6.131E-04|3.791E+00|64170.9214|1.382E-04|2.250E-33|23|20|P| 141|37
3400.1613|5.566E-04|3.443E+00|65237.1345|1.290E-04|1.298E-33|22|19|P| 145|28
3400.7724|5.975E-04|3.698E+00|63667.0169|1.347E-04|2.746E-33|23|20|P| 141|46
3401.3267|4.848E-04|3.001E+00|65620.3133|1.155E-04|9.716E-34|21|18|P| 149|36
3401.4090|5.849E-04|3.622E+00|63252.4711|1.319E-04|3.233E-33|23|20|P| 141|38
3402.1207|4.811E-04|2.981E+00|65466.4443|1.147E-04|1.033E-33|21|18|P| 149|28
3403.3343|7.024E-04|4.357E+00|66569.9293|1.573E-04|8.895E-34|23|20|P| 140|26
3403.5790|5.320E-04|3.301E+00|64337.4964|1.234E-04|1.856E-33|22|19|P| 145|37
3404.9964|5.184E-04|3.220E+00|63821.1460|1.203E-04|2.279E-33|22|19|P| 145|46
3405.8478|6.087E-04|3.784E+00|66794.7072|1.403E-04|7.126E-34|22|19|P| 144|26
3405.8729|5.075E-04|3.155E+00|63396.4255|1.178E-04|2.698E-33|22|19|P| 145|38
3406.1338|4.597E-04|2.858E+00|64544.1496|1.097E-04|1.494E-33|21|18|P| 149|37
3406.8242|5.274E-04|3.281E+00|67062.0549|1.250E-04|5.584E-34|21|18|P| 148|26
3407.8798|4.479E-04|2.789E+00|64014.9052|1.069E-04|1.846E-33|21|18|P| 149|46
3408.8577|6.687E-04|4.168E+00|65576.8021|1.500E-04|1.322E-33|23|20|P| 140|27
3409.0194|4.383E-04|2.732E+00|63579.6420|1.047E-04|2.196E-33|21|18|P| 149|38
3411.9866|6.437E-04|4.024E+00|64831.8531|1.446E-04|1.777E-33|23|20|P| 140|36
3412.0432|5.804E-04|3.628E+00|65776.2667|1.341E-04|1.074E-33|22|19|P| 144|27
3412.5013|6.390E-04|3.996E+00|64686.4157|1.435E-04|1.883E-33|23|20|P| 140|28
3413.7542|5.016E-04|3.140E+00|66017.4151|1.191E-04|8.506E-34|21|18|P| 148|27
3414.8802|6.111E-04|3.830E+00|63814.4322|1.374E-04|2.658E-33|23|20|P| 140|37
3415.6518|5.587E-04|3.503E+00|65012.5347|1.292E-04|1.457E-33|22|19|P| 144|36
3415.7190|5.956E-04|3.735E+00|63313.8602|1.339E-04|3.239E-33|23|20|P| 140|46
3416.1289|5.831E-04|3.658E+00|62902.0634|1.311E-04|3.809E-33|23|20|P| 140|38
3416.2578|5.545E-04|3.479E+00|64863.4525|1.282E-04|1.546E-33|22|19|P| 144|28
3417.8880|4.827E-04|3.032E+00|65234.2327|1.148E-04|1.164E-33|21|18|P| 148|36
3418.5940|4.791E-04|3.011E+00|65081.3758|1.139E-04|1.238E-33|21|18|P| 148|28
3419.1676|5.301E-04|3.334E+00|63969.7547|1.227E-04|2.205E-33|22|19|P| 144|37
3420.0663|7.000E-04|4.407E+00|66197.0036|1.564E-04|1.060E-33|23|20|P| 139|26
3420.2987|5.166E-04|3.253E+00|63456.8318|1.196E-04|2.703E-33|22|19|P| 144|46
3420.9426|5.057E-04|3.186E+00|63034.9392|1.171E-04|3.195E-33|22|19|P| 144|38
3422.0862|4.579E-04|2.887E+00|64165.1807|1.090E-04|1.785E-33|21|18|P| 148|37
3422.9847|6.065E-04|3.828E+00|66409.9772|1.396E-04|8.539E-34|22|19|P| 143|26
3423.5385|4.461E-04|2.816E+00|63639.4567|1.063E-04|2.201E-33|21|18|P| 148|46
3424.3673|5.250E-04|3.317E+00|66665.5582|1.242E-04|6.725E-34|21|18|P| 147|26
3424.4395|4.366E-04|2.759E+00|63207.0983|1.040E-04|2.614E-33|21|18|P| 148|38
3425.0021|6.665E-04|4.214E+00|65210.3661|1.492E-04|1.570E-33|23|20|P| 139|27
3427.7003|6.416E-04|4.066E+00|64470.3185|1.437E-04|2.105E-33|23|20|P| 139|36
3428.1319|6.368E-04|4.038E+00|64325.8406|1.427E-04|2.229E-33|23|20|P| 139|28
3428.5770|5.782E-04|3.667E+00|65398.2077|1.333E-04|1.283E-33|22|19|P| 143|27
3430.0193|6.092E-04|3.869E+00|63459.6336|1.365E-04|3.138E-33|23|20|P| 139|37
3430.5810|5.938E-04|3.773E+00|62962.3928|1.331E-04|3.818E-33|23|20|P| 139|46
3430.6785|4.994E-04|3.173E+00|65627.7651|1.184E-04|1.021E-33|21|18|P| 147|27
3430.7657|5.813E-04|3.694E+00|62553.3438|1.303E-04|4.484E-33|23|20|P| 139|38
3431.7435|5.566E-04|3.540E+00|64639.5159|1.284E-04|1.735E-33|22|19|P| 143|36
3432.2642|5.525E-04|3.515E+00|64491.4203|1.275E-04|1.840E-33|22|19|P| 143|28
3434.3586|4.807E-04|3.064E+00|64849.7581|1.141E-04|1.394E-33|21|18|P| 147|36
3434.6695|5.282E-04|3.368E+00|63603.6646|1.220E-04|2.618E-33|22|19|P| 143|37
3434.9772|4.771E-04|3.042E+00|64697.9142|1.132E-04|1.481E-33|21|18|P| 147|28
3435.5163|5.148E-04|3.285E+00|63094.1695|1.189E-04|3.203E-33|22|19|P| 143|46
3435.9290|5.040E-04|3.217E+00|62675.1043|1.164E-04|3.780E-33|22|19|P| 143|38
3436.7010|6.977E-04|4.457E+00|65825.7845|1.556E-04|1.262E-33|23|20|P| 138|26
3437.9517|4.560E-04|2.916E+00|63787.8228|1.083E-04|2.129E-33|21|18|P| 147|37
3439.1123|4.444E-04|2.844E+00|63265.6207|1.056E-04|2.621E-33|21|18|P| 147|46
3439.7763|4.349E-04|2.785E+00|62836.1678|1.034E-04|3.109E-33|21|18|P| 147|38
3440.0242|6.044E-04|3.872E+00|66026.9081|1.388E-04|1.022E-33|22|19|P| 142|26
3441.0533|6.645E-04|4.261E+00|64845.6395|1.483E-04|1.863E-33|23|20|P| 138|27
3441.8127|5.227E-04|3.353E+00|66270.6744|1.235E-04|8.094E-34|21|18|P| 146|26
3443.3238|6.394E-04|4.109E+00|64110.4939|1.428E-04|2.491E-33|23|20|P| 138|36
