#Table: J/ApJS/95/535/./table10.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
         |         |         |          |         |         |  |  |y|
         |         |         |          |         |         |  |  |p|
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e| Jl
---------|---------|---------|----------|---------|---------|--|--|-|---
3666.3973|4.128E-03|3.179E+01|45458.0782|9.676E-04|1.405E-28| 9| 7|R|135
3689.5052|4.130E-03|2.168E+01|22131.0050|7.163E-06|7.531E-26|13|11|R|  0
3690.4229|5.315E-03|4.091E+01|24705.1121|1.936E-04|5.924E-25|14|12|R| 20
3704.3351|5.971E-03|4.736E+01|37278.5186|1.050E-03|7.738E-27|12|10|R|100
3705.4060|2.633E-03|2.154E+01|19082.1499|9.172E-05|4.168E-24|11| 9|P| 20
3723.4343|3.219E-03|2.596E+01|43795.3826|7.664E-04|2.484E-28| 8| 6|R|135
3740.9521|3.461E-03|1.894E+01|20249.3682|6.087E-06|1.586E-25|12|10|R|  0
3742.4019|4.509E-03|3.620E+01|22856.5636|1.666E-04|1.243E-24|13|11|R| 20
3756.4373|2.127E-03|1.813E+01|17156.1253|7.512E-05|8.640E-24|10| 8|P| 20
3759.4777|4.972E-03|4.122E+01|35548.0746|8.875E-04|1.507E-26|11| 9|R|100
3780.6247|2.421E-03|2.044E+01|42106.4659|5.852E-04|4.287E-28| 7| 5|R|135
3792.5608|2.855E-03|1.628E+01|18341.9044|5.091E-06|3.327E-25|11| 9|R|  0
3794.5452|3.786E-03|3.168E+01|20982.2696|1.418E-04|2.613E-24|12|10|R| 20
3807.6250|1.679E-03|1.490E+01|15204.1184|6.009E-05|1.771E-23| 9| 7|P| 20
3814.7802|4.064E-03|3.520E+01|33791.7162|7.361E-04|2.918E-26|10| 8|R|100
3837.9667|1.734E-03|1.531E+01|40391.2511|4.254E-04|7.132E-28| 6| 4|R|135
3844.3288|2.310E-03|1.372E+01|16408.5346|4.175E-06|6.929E-25|10| 8|R|  0
3846.8506|3.128E-03|2.727E+01|19082.1499|1.188E-04|5.471E-24|11| 9|R| 20
3858.9663|1.286E-03|1.189E+01|13226.0530|4.667E-05|3.568E-23| 8| 6|P| 20
