wno(vac) wavel(air) v  v Branch N" noINmeanVALUE
28586.8520  3497.158  3  2 R2   92  1
28582.3460  3497.709  1  0 R1   87  1
28581.8200  3497.774  1  0 R2   87  1
28580.0760  3497.987  3  2 R1   91  1
28579.4790  3498.060  3  2 R2   91  1
28578.8380  3498.139  2  1 R1   87  1
28578.2540  3498.210  2  1 R2   87  1
28572.8400  3498.873  3  2 R1   90  1
28572.0620  3498.968  1  0 R1   86  1
28572.0620  3498.968  3  2 R2   90  1
28571.3280  3499.058  1  0 R2   86  1
28569.7320  3499.254  2  1 R1   86  1
28569.1290  3499.327  2  1 R2   86  1
28561.6820  3500.240  1  0 R1   85  1
28561.1350  3500.307  1  0 R2   85  1
28560.6290  3500.369  2  1 R1   85  1
28560.0160  3500.444  2  1 R2   85  1
28556.3540  3500.893  3  2 R1   88  1
28556.0350  3500.932  3  2 R2   88  1
28551.4300  3501.497  1  0 R1   84  1
28550.8980  3501.562  1  0 R2   84  1
28550.4260  3501.620 13 11 R1   12  1
28550.3420  3501.630 13 11 R2   12  1
28549.5270  3501.730 13 11 R1   11  1
28549.4320  3501.742 13 11 R2   11  1
28549.2640  3501.762  3  2 R1   87  1
28548.7110  3501.830  3  2 R2   87  1
28548.5120  3501.854 13 11 R1   10  1
28548.3520  3501.874 13 11 R2   10  1
28547.2890  3502.005 13 11 R1    9  1
28547.0840  3502.030 13 11 R2    9  1
28545.8870  3502.177 13 11 R1    8  1
28545.6640  3502.204 13 11 R2    8  1
28544.2190  3502.381 13 11 R1    7  1
28544.0530  3502.402 13 11 R2    7  1
28542.5020  3502.592  2  1 R1   83  1
28542.3980  3502.605 13 11 R1    6  1
28542.2170  3502.627 13 11 R2    6  1
28541.8440  3502.673  2  1 R2   83  1
28541.1350  3502.760  1  0 R1   83  1
28540.6000  3502.825  1  0 R2   83  1
28540.3750  3502.853 13 11 R1    5  1
28540.2010  3502.874 13 11 R2    5  1
28538.1410  3503.127 13 11 R1    4  1
28537.9960  3503.145 13 11 R2    4  1
28535.7090  3503.426 13 11 R1    3  1
28535.7090  3503.426 13 11 R2    3  1
28534.2230  3503.608  3  2 R1   85  1
28533.6250  3503.682  2  1 R1   82  1
28533.6250  3503.682  3  2 R2   85  1
28533.0940  3503.747 13 11 R1    2  1
28533.0180  3503.756  2  1 R2   82  1
28533.0060  3503.758 13 11 R2    2  1
28530.9550  3504.009  1  0 R1   82  1
28530.4120  3504.076  1  0 R2   82  1
28526.5620  3504.549  3  2 R1   84  1
28525.9410  3504.625  3  2 R2   84  1
28520.8500  3505.251  1  0 R1   81  1
28520.2380  3505.326  1  0 R2   81  1
28518.8960  3505.491  3  2 R1   83  1
28518.2830  3505.566  3  2 R2   83  1
28517.0660  3505.716 13 11 P1    2  1
28517.0660  3505.716 13 11 P2    2  1
28514.7360  3506.002  2  1 R1   80  1
28514.2560  3506.061  2  1 R2   80  1
28513.2910  3506.180 13 11 P1    3  1
28513.2910  3506.180 13 11 P2    3  1
28513.0290  3506.212  4  3 R1   91  1
28512.3710  3506.293  4  3 R2   91  1
28511.2150  3506.435  3  2 R1   82  1
28510.6390  3506.506  1  0 R1   80  1
28510.6390  3506.506  3  2 R2   82  1
28510.1310  3506.569  1  0 R2   80  1
28509.3050  3506.670 13 11 P1    4  1
28509.3050  3506.670 13 11 P2    4  1
28507.5920  3506.881  4  3 R1   90  1
28506.9710  3506.957  4  3 R2   90  1
28505.8810  3507.092  2  1 R1   79  1
28505.3590  3507.156  2  1 R2   79  1
28505.1580  3507.181 13 11 P1    5  1
28505.1580  3507.181 13 11 P2    5  1
28503.5160  3507.383  3  2 R1   81  1
28502.8770  3507.461  3  2 R2   81  1
28502.0880  3507.558  4  3 R1   89  1
28501.4340  3507.639  4  3 R2   89  1
28500.8540  3507.710 13 11 P1    6  1
28500.7290  3507.726 13 11 P2    6  1
28500.6130  3507.740  1  0 R1   79  1
28500.0530  3507.809  1  0 R2   79  1
28496.9410  3508.192  2  1 R1   78  1
28496.3810  3508.261  2  1 R2   78  1
28496.2970  3508.271 13 11 P1    7  1
28496.1600  3508.288 13 11 P2    7  1
28495.8160  3508.330  3  2 R1   80  1
28495.1540  3508.412  3  2 R2   80  1
28491.5530  3508.855 13 11 P1    8  1
28491.4100  3508.873 13 11 P2    8  1
28490.6310  3508.969  1  0 R1   78  1
28490.0530  3509.040  1  0 R2   78  1
28488.0390  3509.288  2  1 R1   77  1
28487.4240  3509.364  2  1 R2   77  1
28486.6050  3509.465 13 11 P1    9  1
28486.4750  3509.481 13 11 P2    9  1
28485.1070  3509.649  4  3 R1   86  1
28484.3710  3509.740  4  3 R2   86  1
28481.5120  3510.092 13 11 P1   10  1
28481.3690  3510.110 13 11 P2   10  1
28480.5060  3510.216  1  0 R1   77  1
28480.0740  3510.269  1  0 R2   77  1
28479.0960  3510.390  2  1 R1   76  1
28478.5040  3510.463  2  1 R2   76  1
28476.1110  3510.758 13 11 P1   11  1
28476.1110  3510.758 13 11 P2   11  1
28472.7540  3511.172  3  2 R1   77  1
28472.0120  3511.263  3  2 R2   77  1
28470.6910  3511.426  1  0 R1   76  1
28470.6970  3511.426 13 11 P1   12  1
28470.6050  3511.437 13 11 P2   12  1
28470.1500  3511.493  1  0 R2   76  1
28470.1500  3511.493  2  1 R1   75  1
28469.5740  3511.564  2  1 R2   75  1
28465.3340  3512.087  3  2 R1   76  1
28464.3280  3512.211  3  2 R2   76  1
28461.2970  3512.585  2  1 R1   74  1
28460.7660  3512.651  1  0 R1   75  1
28460.7660  3512.651  2  1 R2   74  1
28460.2620  3512.713  1  0 R2   75  1
28457.3870  3513.068  3  2 R1   75  1
28456.7050  3513.152  3  2 R2   75  1
28452.4140  3513.682  2  1 R1   73  1
28451.8500  3513.752  2  1 R2   73  1
28450.9920  3513.858  1  0 R1   74  1
28450.4710  3513.922  1  0 R2   74  1
28443.6330  3514.767  2  1 R1   72  1
